grade_unit,单词,音标,释义,例句
八年级上册U7,"France","/frɑːns/","法国",
八年级上册U8,"communication","/kəˌmjuːnɪˈkeɪʃn/","表达；交流 face to face 面对面 text message（手机）短信息；短信",
八年级上册U8,"sign","/saɪn/","手势；迹象；标志 v. 签（名）；签字",
八年级上册U8,"speaker","/ˈspiːkə(r)/","说话者；发言者",
八年级上册U8,"rehearsal","/rɪˈhɜːsl/","排演；排练 show sb around 领某人参观",
八年级上册U8,"local","/ˈləʊkl/","当地的；地方的 n. 当地人；本地人 face-to-face adj. 面对面的",
八年级上册U8,"professor","/prəˈfesə(r)/","教授 in person 亲自；亲身",
八年级上册U8,"speech","/spiːtʃ/","演说；发言",
八年级上册U8,"argue","/ˈɑːɡjuː/","争论；争吵 make up (with sb) 与……言归于好",
八年级上册U8,"prefer","/prɪˈfɜː(r)/","较喜欢",
八年级上册U8,"calm","/kɑːm/","镇静的；沉着的 v. 使平静；使镇静 worry about 为……担心",
八年级上册U8,"expression","/ɪkˈspreʃn/","表达方式；表达",
八年级上册U8,"chance","/tʃɑːns/","机会；可能性 adj. 意外的；偶然的",
八年级上册U8,"meeting","/ˈmiːtɪŋ/","会面；会议",
八年级上册U8,"difficulty","/ˈdɪfɪkəlti/","困难；难题 right away 立即；马上",
八年级上册U8,"line","/laɪn/","字行；便条；线 drop sb a line 给……写信",
八年级上册U8,"detail","/ˈdiːteɪl/","细节；详情",
八年级上册U8,"reunion","/ˌriːˈjuːniən/","团聚；重逢；聚会",
八年级上册U8,"seriously","/ˈsɪəriəsli/","严肃地；认真地",
八年级上册U8,"training","/ˈtreɪnɪŋ/","训练；培训",
八年级上册U8,"nervous","/ˈnɜːvəs/","担忧的；焦虑的；胆怯的",
八年级上册U8,"stranger","/ˈstreɪndʒə(r)/","陌生人",
八年级上册U8,"tip","/tɪp/","指点；实用的提示；尖端 v.（使）倾斜；倒出；给小费",
八年级上册U8,"carefully","/ˈkeəfəli/","认真地；仔细地；小心地 show interest in sth 对……表现出兴趣",
八年级上册U8,"listener","/ˈlɪsənə(r)/","听者",
八年级上册U8,"point","/pɔɪnt/","观点；重点 v. 指向；瞄准",
八年级上册U8,"surely","/ˈʃʊəli/","想必；必定",
八年级上册U8,"continue","/kənˈtɪnjuː/","持续；继续做",
八年级上册U8,"impolite","/ˌɪmpəˈlaɪt/","不礼貌的；粗鲁的",
八年级上册U8,"personal","/ˈpɜːsənl/","个人的；私人的 argue with sb 与某人争论 move on (to sth) 换话题；开始做（别的事）",
八年级上册U8,"sincere","/sɪnˈsɪə(r)/","真诚的；诚实的 find out 查明；弄清（情况）",
八年级上册U8,"pay","/peɪ/","付费；交纳；偿还 n. 工资；薪水",
八年级上册U8,"attention","/əˈtenʃn/","注意；专心；关注 pay attention (to …) 注意；关注 be yourself 行为自然；不做作",
八年级上册U8,"offer","/ˈɒfə(r)/","提供；主动提出 n. 主动提议；出价",
八年级上册U8,"reasonable","/ˈriːznəbl/","公平的；合理的",
八年级上册U8,"social","/ˈsəʊʃl/","社会的；社交的 n. 联谊会；联欢会",
八年级上册U8,"medium","/ˈmiːdiəm/","媒介；手段 social media 社交媒体",
八年级上册U8,"trust","/trʌst/","信任；相信 keep (…) away from … （使）远离；避免……靠近",
八年级上册U8,"misunderstanding","/ˌmɪsʌndəˈstændɪŋ/","误解；误会",
八年级上册U8,"event","/ɪˈvent/","公开活动；重要事情 take place 发生；进行",
八年级上册U8,"cost","/kɒst/","费用；价钱；代价 v. 价格为；使损失；使付出努力",
八年级上册U8,"opportunity","/ˌɒpəˈtjuːnəti/","机会；时机",
八年级上册U8,"benefit","/ˈbenɪfɪt/","对……有用；使受益 n. 益处；成效 benefit … from … 从……获益",
八年级上册U8,"reply","/rɪˈplaɪ/","回答；回复",
八年级上册U8,"honour (= honor) n.","/ˈɒnə(r)/","荣幸；尊敬 v. 给……荣誉；表彰",
八年级上册U8,"sincerely","/sɪnˈsɪəli/","真诚地；诚实地",
八年级上册U8,"opening","/ˈəʊpənɪŋ/","开篇的；开始的 n. 开始；孔；洞",
八年级上册U8,"closing","/ˈkləʊzɪŋ/","结尾的；结束的 n. 停业；关闭",
八年级上册U8,"sentence","/ˈsentəns/","句子；判决 v. 判决；宣判",
八年级上册U8,"date","/deɪt/","日期；日子 v. 确定年代；注明日期",
八年级上册U8,"clause","/klɔːz/","从句；分句",
